"trip_id","start_time","end_time","headway_secs","exact_times"
3093090470,12:05:00,14:55:00,60,
3093090469,12:35:00,15:25:00,60,
3093090460,12:05:00,14:55:00,60,
3093090459,12:35:00,15:25:00,60,
3093090466,12:05:00,14:55:00,60,
3093090464,12:35:00,15:25:00,60,
3093090471,7:20:00,10:40:00,60,
3093090472,7:50:00,11:10:00,60,
3093090461,7:20:00,10:40:00,60,
3093090462,7:50:00,11:10:00,60,
3093090467,7:20:00,10:40:00,60,
3093090465,7:50:00,11:10:00,60,
3093090473,5:20:00,20:40:00,60,
3093090463,5:20:00,20:40:00,60,
3093090468,5:20:00,20:40:00,60,
3093090186,8:20:00,21:40:00,60,
3093090184,8:20:00,21:40:00,60,
3093090182,8:20:00,21:40:00,60,
3093090187,6:20:00,21:40:00,60,
3093090185,6:20:00,21:40:00,60,
3093090183,6:20:00,21:40:00,60,
